,Kills,Deaths,Assists,Scorigami
80,40,17,24,40-17-24
310,37,28,17,37-28-17
548,37,23,20,37-23-20
338,35,25,18,35-25-18
800,34,25,17,34-25-17
103,34,23,7,34-23-7
392,34,21,15,34-21-15
410,34,18,12,34-18-12
501,33,32,19,33-32-19
778,33,18,10,33-18-10
733,33,8,7,33-8-7
40,32,16,13,32-16-13
564,31,31,25,31-31-25
181,31,22,9,31-22-9
46,31,18,8,31-18-8
693,31,13,8,31-13-8
590,30,25,20,30-25-20
225,30,22,17,30-22-17
353,30,21,10,30-21-10
134,30,16,14,30-16-14
723,29,21,16,29-21-16
190,29,19,24,29-19-24
304,29,19,9,29-19-9
305,29,14,8,29-14-8
803,28,25,18,28-25-18
274,28,21,18,28-21-18
517,28,20,10,28-20-10
42,28,19,12,28-19-12
673,28,18,16,28-18-16
178,28,18,14,28-18-14
102,28,18,7,28-18-7
646,28,16,20,28-16-20
742,28,16,13,28-16-13
481,28,10,11,28-10-11
336,27,23,13,27-23-13
428,27,17,12,27-17-12
794,27,17,11,27-17-11
267,27,17,10,27-17-10
506,27,16,11,27-16-11
622,27,14,9,27-14-9
792,27,8,7,27-8-7
209,26,19,18,26-19-18
755,26,17,8,26-17-8
518,26,15,10,26-15-10
161,26,15,9,26-15-9
640,26,13,10,26-13-10
795,26,13,10,26-13-10
764,26,12,10,26-12-10
7,26,12,9,26-12-9
196,26,12,8,26-12-8
51,26,10,10,26-10-10
446,25,25,28,25-25-28
283,25,23,14,25-23-14
459,25,19,13,25-19-13
762,25,19,11,25-19-11
528,25,17,9,25-17-9
194,25,12,5,25-12-5
242,25,11,4,25-11-4
769,24,25,11,24-25-11
790,24,25,9,24-25-9
265,24,22,13,24-22-13
333,24,21,16,24-21-16
322,24,20,9,24-20-9
241,24,19,6,24-19-6
354,24,19,6,24-19-6
663,24,17,8,24-17-8
2,24,15,10,24-15-10
187,24,10,11,24-10-11
500,24,8,8,24-8-8
101,23,24,22,23-24-22
542,23,23,14,23-23-14
65,23,19,12,23-19-12
97,23,18,11,23-18-11
450,23,18,9,23-18-9
264,23,18,7,23-18-7
395,23,17,16,23-17-16
725,23,17,14,23-17-14
313,23,17,5,23-17-5
77,23,16,6,23-16-6
478,23,15,8,23-15-8
759,23,14,15,23-14-15
92,23,14,10,23-14-10
581,23,14,6,23-14-6
472,23,12,7,23-12-7
620,23,11,14,23-11-14
379,23,11,10,23-11-10
464,23,9,7,23-9-7
427,22,23,16,22-23-16
659,22,23,13,22-23-13
291,22,21,9,22-21-9
398,22,21,6,22-21-6
249,22,20,27,22-20-27
170,22,20,18,22-20-18
148,22,20,17,22-20-17
334,22,19,11,22-19-11
409,22,18,16,22-18-16
639,22,18,16,22-18-16
631,22,18,3,22-18-3
394,22,17,11,22-17-11
577,22,17,7,22-17-7
168,22,16,10,22-16-10
413,22,16,8,22-16-8
275,22,15,10,22-15-10
110,22,15,6,22-15-6
402,22,9,11,22-9-11
96,21,30,18,21-30-18
798,21,26,16,21-26-16
346,21,24,11,21-24-11
221,21,23,12,21-23-12
268,21,21,17,21-21-17
704,21,20,10,21-20-10
604,21,19,18,21-19-18
130,21,19,11,21-19-11
787,21,18,13,21-18-13
122,21,18,9,21-18-9
300,21,18,9,21-18-9
508,21,18,8,21-18-8
691,21,16,24,21-16-24
674,21,16,10,21-16-10
357,21,16,9,21-16-9
219,21,15,14,21-15-14
47,21,15,9,21-15-9
651,21,12,4,21-12-4
371,20,21,9,20-21-9
317,20,20,12,20-20-12
802,20,20,7,20-20-7
720,20,19,19,20-19-19
447,20,19,13,20-19-13
504,20,19,9,20-19-9
5,20,18,9,20-18-9
185,20,18,7,20-18-7
358,20,18,6,20-18-6
434,20,17,15,20-17-15
591,20,17,7,20-17-7
724,20,17,5,20-17-5
293,20,16,11,20-16-11
612,20,16,9,20-16-9
793,20,16,9,20-16-9
184,20,16,8,20-16-8
84,20,16,6,20-16-6
435,20,14,16,20-14-16
630,20,14,11,20-14-11
0,20,13,8,20-13-8
696,20,13,7,20-13-7
538,20,12,12,20-12-12
482,20,12,9,20-12-9
74,20,12,6,20-12-6
145,20,12,6,20-12-6
278,20,11,8,20-11-8
393,20,10,7,20-10-7
259,19,22,12,19-22-12
717,19,20,11,19-20-11
277,19,19,10,19-19-10
72,19,19,6,19-19-6
405,19,18,13,19-18-13
140,19,18,10,19-18-10
288,19,18,10,19-18-10
530,19,18,10,19-18-10
569,19,17,21,19-17-21
89,19,17,12,19-17-12
314,19,17,11,19-17-11
199,19,17,9,19-17-9
390,19,17,8,19-17-8
627,19,17,6,19-17-6
625,19,16,21,19-16-21
236,19,16,17,19-16-17
150,19,16,16,19-16-16
681,19,16,13,19-16-13
332,19,16,12,19-16-12
736,19,16,9,19-16-9
240,19,16,6,19-16-6
211,19,16,5,19-16-5
665,19,15,17,19-15-17
545,19,15,14,19-15-14
359,19,15,11,19-15-11
54,19,15,10,19-15-10
485,19,14,10,19-14-10
543,19,14,8,19-14-8
758,19,14,4,19-14-4
120,19,13,13,19-13-13
197,19,13,10,19-13-10
388,19,13,9,19-13-9
753,19,13,7,19-13-7
502,19,13,4,19-13-4
408,19,12,5,19-12-5
425,19,10,15,19-10-15
469,19,10,9,19-10-9
537,19,9,13,19-9-13
675,19,9,5,19-9-5
727,19,7,11,19-7-11
455,19,4,6,19-4-6
324,18,25,17,18-25-17
238,18,23,13,18-23-13
373,18,22,20,18-22-20
557,18,22,14,18-22-14
372,18,21,21,18-21-21
429,18,21,17,18-21-17
744,18,21,17,18-21-17
351,18,21,12,18-21-12
115,18,20,11,18-20-11
626,18,19,15,18-19-15
806,18,19,10,18-19-10
327,18,19,9,18-19-9
617,18,19,8,18-19-8
177,18,18,10,18-18-10
228,18,18,9,18-18-9
573,18,17,20,18-17-20
615,18,17,12,18-17-12
559,18,17,9,18-17-9
624,18,17,9,18-17-9
523,18,17,6,18-17-6
498,18,16,6,18-16-6
585,18,15,16,18-15-16
227,18,15,12,18-15-12
588,18,15,11,18-15-11
368,18,14,14,18-14-14
529,18,14,13,18-14-13
703,18,14,11,18-14-11
107,18,14,8,18-14-8
131,18,14,5,18-14-5
804,18,13,7,18-13-7
423,18,12,11,18-12-11
570,18,12,9,18-12-9
79,18,11,12,18-11-12
8,18,11,11,18-11-11
256,18,9,11,18-9-11
726,18,8,13,18-8-13
377,18,8,12,18-8-12
729,18,7,17,18-7-17
215,18,7,2,18-7-2
85,18,6,7,18-6-7
595,18,6,7,18-6-7
57,18,5,6,18-5-6
761,18,5,5,18-5-5
572,17,27,11,17-27-11
343,17,23,14,17-23-14
341,17,22,10,17-22-10
582,17,21,10,17-21-10
153,17,20,14,17-20-14
340,17,19,13,17-19-13
743,17,18,15,17-18-15
121,17,18,8,17-18-8
524,17,18,8,17-18-8
490,17,18,5,17-18-5
457,17,18,2,17-18-2
470,17,17,21,17-17-21
179,17,17,12,17-17-12
22,17,17,3,17-17-3
417,17,17,3,17-17-3
406,17,16,11,17-16-11
461,17,16,11,17-16-11
484,17,16,10,17-16-10
521,17,16,10,17-16-10
768,17,16,10,17-16-10
350,17,16,9,17-16-9
789,17,16,7,17-16-7
738,17,16,5,17-16-5
471,17,15,14,17-15-14
200,17,15,13,17-15-13
448,17,15,12,17-15-12
422,17,15,9,17-15-9
486,17,15,9,17-15-9
685,17,15,9,17-15-9
172,17,15,8,17-15-8
752,17,15,7,17-15-7
141,17,14,18,17-14-18
1,17,14,9,17-14-9
532,17,14,7,17-14-7
119,17,14,5,17-14-5
320,17,14,5,17-14-5
445,17,13,14,17-13-14
621,17,13,13,17-13-13
266,17,13,10,17-13-10
584,17,13,10,17-13-10
503,17,13,8,17-13-8
424,17,13,7,17-13-7
453,17,12,6,17-12-6
62,17,12,2,17-12-2
495,17,11,10,17-11-10
396,17,10,12,17-10-12
776,17,10,4,17-10-4
250,17,8,7,17-8-7
507,17,8,5,17-8-5
664,16,23,10,16-23-10
309,16,22,12,16-22-12
579,16,21,18,16-21-18
511,16,21,17,16-21-17
751,16,21,12,16-21-12
32,16,21,8,16-21-8
781,16,20,17,16-20-17
613,16,20,12,16-20-12
708,16,18,9,16-18-9
589,16,18,7,16-18-7
680,16,16,9,16-16-9
15,16,16,8,16-16-8
563,16,16,5,16-16-5
167,16,15,14,16-15-14
174,16,15,4,16-15-4
754,16,15,3,16-15-3
496,16,14,10,16-14-10
700,16,14,7,16-14-7
458,16,13,11,16-13-11
61,16,13,9,16-13-9
784,16,13,9,16-13-9
17,16,13,5,16-13-5
232,16,11,8,16-11-8
400,16,11,8,16-11-8
462,16,11,5,16-11-5
299,16,10,11,16-10-11
555,16,10,8,16-10-8
477,16,10,5,16-10-5
201,16,10,2,16-10-2
456,16,9,7,16-9-7
746,16,9,5,16-9-5
706,16,9,3,16-9-3
81,16,8,6,16-8-6
271,16,7,7,16-7-7
349,16,5,9,16-5-9
437,16,5,8,16-5-8
594,15,23,13,15-23-13
701,15,23,13,15-23-13
707,15,21,16,15-21-16
513,15,20,7,15-20-7
335,15,18,20,15-18-20
777,15,18,11,15-18-11
202,15,18,9,15-18-9
463,15,18,6,15-18-6
132,15,17,11,15-17-11
191,15,16,17,15-16-17
127,15,16,8,15-16-8
76,15,16,7,15-16-7
220,15,16,4,15-16-4
475,15,15,15,15-15-15
364,15,15,8,15-15-8
672,15,14,12,15-14-12
282,15,14,6,15-14-6
239,15,13,13,15-13-13
682,15,13,11,15-13-11
527,15,13,9,15-13-9
301,15,13,8,15-13-8
415,15,13,8,15-13-8
270,15,13,7,15-13-7
694,15,13,7,15-13-7
770,15,12,14,15-12-14
531,15,12,8,15-12-8
702,15,12,6,15-12-6
389,15,11,11,15-11-11
451,15,11,10,15-11-10
479,15,11,10,15-11-10
763,15,11,9,15-11-9
95,15,11,8,15-11-8
330,15,11,8,15-11-8
129,15,11,7,15-11-7
618,15,11,6,15-11-6
783,15,11,4,15-11-4
33,15,11,3,15-11-3
31,15,10,14,15-10-14
369,15,10,14,15-10-14
670,15,10,11,15-10-11
176,15,10,9,15-10-9
567,15,9,16,15-9-16
214,15,9,11,15-9-11
262,15,9,7,15-9-7
433,15,9,6,15-9-6
125,15,8,7,15-8-7
384,15,8,7,15-8-7
473,15,8,7,15-8-7
756,15,7,8,15-7-8
476,15,7,5,15-7-5
487,15,6,5,15-6-5
237,15,5,7,15-5-7
12,15,4,6,15-4-6
253,14,23,6,14-23-6
443,14,22,13,14-22-13
365,14,21,15,14-21-15
757,14,20,11,14-20-11
88,14,20,10,14-20-10
207,14,19,17,14-19-17
772,14,19,15,14-19-15
578,14,18,12,14-18-12
623,14,18,11,14-18-11
692,14,18,10,14-18-10
375,14,18,8,14-18-8
605,14,17,15,14-17-15
370,14,17,11,14-17-11
688,14,17,11,14-17-11
273,14,17,9,14-17-9
94,14,16,15,14-16-15
714,14,16,11,14-16-11
255,14,16,10,14-16-10
162,14,15,14,14-15-14
292,14,15,13,14-15-13
705,14,14,9,14-14-9
782,14,14,9,14-14-9
397,14,14,8,14-14-8
244,14,14,7,14-14-7
260,14,14,7,14-14-7
28,14,14,6,14-14-6
525,14,13,15,14-13-15
493,14,13,7,14-13-7
741,14,13,7,14-13-7
767,14,13,6,14-13-6
243,14,13,4,14-13-4
382,14,12,10,14-12-10
571,14,12,7,14-12-7
59,14,12,5,14-12-5
204,14,12,4,14-12-4
118,14,11,12,14-11-12
188,14,11,8,14-11-8
231,14,11,8,14-11-8
608,14,11,7,14-11-7
208,14,11,6,14-11-6
45,14,10,11,14-10-11
49,14,10,11,14-10-11
212,14,10,10,14-10-10
697,14,10,3,14-10-3
686,14,9,9,14-9-9
774,14,9,8,14-9-8
175,14,9,5,14-9-5
634,14,9,4,14-9-4
713,14,9,2,14-9-2
192,14,8,11,14-8-11
316,14,8,8,14-8-8
126,14,8,2,14-8-2
684,14,7,10,14-7-10
668,14,7,8,14-7-8
600,14,7,5,14-7-5
728,14,7,5,14-7-5
206,14,6,12,14-6-12
449,14,5,9,14-5-9
731,14,5,8,14-5-8
