Date,Player,MatchId,Map,Category,Playlist,Input,Queue,Csr,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2021-11-15 18:58:27","Sparty McFIy",df3d6a74-2a9d-4351-8510-205626b75bd3,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,0,,Win,64.75,4533,2231,400,259,141,4.50,16.67,18,4,8,0,0,7,5,2200,0,10,347
"2021-11-15 19:09:35","Sparty McFIy",346ed6c9-71d1-4b96-adeb-25263ebe2944,Streets,Slayer,"Ranked Arena",CrossPlay,Open,0,,Win,54.52,4247,3310,409,223,186,2.00,11.33,20,10,4,0,0,,,2200,1,11,381
"2021-11-15 19:18:22","Sparty McFIy",4e71d0b9-a586-4a1a-9979-a44d0ffcb89d,Streets,Oddball,"Ranked Arena",CrossPlay,Open,0,,Loss,69.75,9015,7978,671,468,203,1.13,7.66,34,30,11,0,0,,,4765,2,13,1099
"2021-11-15 19:38:34","Sparty McFIy",ad896bb7-cc4b-4204-b537-a2fe9df46c42,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,0,,Loss,63.16,2652,3553,247,156,91,0.46,-6.00,6,13,3,0,0,,,750,0,3,363
"2021-11-15 19:53:08","Sparty McFIy",50699990-3b36-4f6d-97b2-bd1c747dd395,Bazaar,CTF,"Ranked Arena",CrossPlay,Open,0,,Win,64.29,7472,5114,574,369,205,2.75,25.00,33,12,12,0,0,,,4445,2,15,745
"2021-11-15 20:10:50","Sparty McFIy",6901fac8-6410-4483-9497-4181dbb11af0,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,0,,Win,56.43,6028,4391,677,382,295,1.75,12.00,21,12,9,0,0,,,3125,1,7,718
"2021-11-15 20:25:14","Sparty McFIy",67b59b24-f5ed-4265-a1b2-85cd2a87c74b,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,0,,Win,57.93,2851,1165,164,95,69,3.33,9.66,10,3,8,0,0,,,1860,1,7,318
"2021-11-15 20:32:25","Sparty McFIy",6d9c2af7-3a2c-4fbb-a0e3-a7d238fee53f,Bazaar,CTF,"Ranked Arena",CrossPlay,Open,0,,Win,60.53,7907,6128,641,388,253,2.50,23.66,35,14,8,0,0,,,4595,6,19,752
"2021-11-15 20:48:18","Sparty McFIy",4254922c-3f89-4456-a720-f556b49e91aa,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,0,,Win,55.03,6682,5335,745,410,335,1.00,5.33,17,17,16,0,0,,,2650,2,7,746
"2021-11-15 21:01:49","Sparty McFIy",11963768-f00a-44a5-98b3-fc2291377ade,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,0,,Win,58.57,7284,6972,712,417,295,0.83,0.66,19,23,14,0,0,,,2630,0,4,847
"2021-11-15 21:22:08","Sparty McFIy",409c63ee-e4c0-4f9a-864b-c8c27e8d99fe,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,1200,,Win,72.73,3189,2646,242,176,66,1.22,4.00,11,9,6,0,0,12,10,1400,1,5,378
"2021-11-15 21:31:01","Sparty McFIy",9e66dc6d-2947-4a9e-a7e2-26cd5b283b39,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,1203,,Win,73.33,2367,1671,180,132,48,2.00,5.66,10,5,2,0,0,,,1100,0,2,336
"2021-11-15 21:53:46","Sparty McFIy",71a2d19e-221c-4cb3-b4b7-9f36b15f3506,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1206,,Loss,58.77,14782,10410,1419,834,585,1.65,27.33,56,34,16,0,0,,,6640,5,24,1305
"2021-11-15 22:18:06","Sparty McFIy",a9548930-38c8-4ef4-a247-2edf772592e7,Streets,Slayer,"Ranked Arena",CrossPlay,Open,1206,,Win,53.81,3988,3492,381,205,176,1.18,5.33,13,11,10,0,0,,,1800,0,5,414
"2021-11-15 22:28:17","Sparty McFIy",df1b828c-cfb6-4ff5-b806-8cd36df47687,"Live Fire",Slayer,"Ranked Arena",CrossPlay,Open,1209,,Win,61.03,4201,3746,390,238,152,1.23,4.33,16,13,4,0,0,,,1800,0,6,436
"2021-11-15 22:36:42","Sparty McFIy",835477bd-d6fd-47a8-aa23-4bc95d59986b,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,1212,,Win,66.22,11258,8571,894,592,302,1.52,18.66,38,25,17,0,0,,,5255,3,19,1153
"2021-11-15 22:58:01","Sparty McFIy",5310402e-609f-4c6e-9eec-452ec9cfaac7,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,1215,,Win,57.12,5993,5854,653,373,280,1.00,2.66,18,18,8,0,0,,,2305,0,3,745
"2021-11-15 23:11:37","Sparty McFIy",2962c7f5-9230-44cc-bef6-7f83bc70007d,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1218,,Win,61.31,8766,7312,853,523,330,1.21,9.00,29,24,12,0,0,,,3980,3,12,1035
"2021-11-15 23:31:13","Sparty McFIy",c24c4826-b75f-41ce-bfb1-9f1d2c7264e1,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1221,,Win,53.17,1694,1923,205,109,96,1.80,5.33,9,5,4,0,0,,,1275,1,3,240
"2021-11-15 23:44:39","Sparty McFIy",8de8722e-2e3b-4b8e-b375-0c5f39202ec0,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,1224,,Win,55.09,3287,794,285,157,128,19.00,20.00,19,1,6,0,0,,,2200,0,10,297
"2021-11-16 00:08:13","Sparty McFIy",918daa5c-1764-486a-9f07-5004bb8a30bc,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1239,,Loss,63.97,7651,7372,630,403,227,1.35,9.66,31,23,5,0,0,,,4050,2,10,916
"2021-11-16 00:30:03","Sparty McFIy",14f01437-6952-42a1-93fd-71fe44cf5cc1,Streets,Strongholds,"Ranked Arena",CrossPlay,Open,1239,,Win,66.97,2709,889,109,73,36,13.00,14.00,13,0,3,0,0,,,1625,1,8,197
"2021-11-16 00:40:16","Sparty McFIy",4b4302e2-7809-447e-ba6a-d63730945448,Streets,Strongholds,"Ranked Arena",Controller,Solo/Duo,0,,Win,58.31,3571,1801,295,172,123,6.00,16.00,18,3,3,0,0,,,2325,2,16,337
"2021-11-16 00:52:52","Sparty McFIy",a749f10c-daef-40c7-973c-f8abf73638fa,Recharge,Strongholds,"Ranked Arena",Controller,Solo/Duo,0,,Win,74.52,3575,2432,310,231,79,1.57,6.66,11,7,8,0,0,,,1850,0,3,363
"2021-11-16 01:00:30","Sparty McFIy",7072cd5b-85fb-4654-9ccb-fc44f635f494,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,0,,Loss,60,8508,5929,725,435,290,1.74,16.66,33,19,8,0,0,,,4235,2,20,780
"2021-11-16 01:15:15","Sparty McFIy",b3191bc4-fc08-4fbc-82f9-7bef8a68b227,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1254,,Win,71.7,2249,901,159,114,45,5.00,5.33,5,1,4,0,0,,,1110,1,2,294
"2021-11-16 01:22:18","Sparty McFIy",73d78123-6247-4449-af53-35f74b1aa68a,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,1257,,Win,58.85,4680,3306,384,226,158,2.30,14.00,23,10,3,0,0,,,2450,0,6,480
"2021-11-16 01:32:06","Sparty McFIy",8a4752b3-0208-4f95-807b-387381bc2616,Aquarius,CTF,"Ranked Arena",Controller,Solo/Duo,0,,Win,65,5923,4266,520,338,182,2.18,15.66,24,11,8,0,0,,,3580,1,6,647
"2021-11-16 01:50:46","Sparty McFIy",5f5e9e33-1f12-4b84-bf23-8976101229ad,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1272,,Win,58.51,5866,3900,511,299,212,1.91,12.33,21,11,7,0,0,,,2875,2,9,587
"2021-11-16 02:16:06","Sparty McFIy",2db5cd93-f646-44f2-aab5-f3df157ff35a,Streets,Slayer,"Ranked Arena",CrossPlay,Open,1275,,Win,56.11,4026,2849,360,202,158,2.00,10.66,18,9,5,0,0,,,2050,2,15,388
"2021-11-16 02:23:51","Sparty McFIy",4d1a3370-26d7-4bb3-aaf7-220c85d93301,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1290,,Loss,59.32,6746,6360,644,382,262,1.32,10.66,25,19,14,0,0,,,3530,0,10,742
"2021-11-16 02:37:09","Sparty McFIy",1c23df6a-50f8-4fc3-976e-262910180359,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,1290,,Win,63.21,7776,5946,666,421,245,1.50,13.00,27,18,12,0,0,,,3555,1,11,768
"2021-11-16 02:51:22","Sparty McFIy",53890217-da53-4adf-94db-4aeda701be07,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,1293,,Loss,49.02,4515,4168,559,274,285,1.27,7.00,19,15,9,0,0,,,2925,0,5,590
"2021-11-16 03:02:14","Sparty McFIy",b0029be8-b9f9-4546-b66a-2e07d5f29506,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1293,,Win,56.74,8223,7012,712,404,308,1.37,12.33,26,19,16,0,0,,,4050,0,12,887
"2021-11-16 03:19:01","Sparty McFIy",ac426b10-ca15-4921-b799-ff1e503a56c8,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,1296,,Win,64.62,8123,5378,619,400,219,2.92,26.00,35,12,9,0,0,,,4435,2,14,748
"2021-11-16 04:01:14","Sparty McFIy",8590da67-137f-4ce3-b8fb-a04d74a69b04,"Live Fire",Oddball,"Quick Play",CrossPlay,Open,0,,Win,62.5,3754,1710,232,145,87,3.20,12.66,16,5,5,0,0,10,6,1850,0,6,289
"2021-11-16 04:12:32","Sparty McFIy",c5d5b1e0-fd71-4ee3-a419-6bc9e89a2949,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1311,,Win,69.01,7462,5425,584,403,181,1.93,16.33,29,15,7,0,0,,,3925,4,10,665
"2021-11-16 05:40:25","Sparty McFIy",6cdd731c-2a0c-42a3-986b-0bda64e18548,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,1326,,Win,52.5,6223,5529,659,346,313,1.00,3.33,19,19,10,0,0,,,2560,1,8,755
"2021-11-16 05:54:06","Sparty McFIy",15a2ce40-8beb-4d7d-b159-b60662ec7345,Streets,Oddball,"Ranked Arena",CrossPlay,Open,1329,,Win,62.69,12011,8459,930,583,347,1.48,20.33,43,29,19,0,0,,,5600,1,11,1207
"2021-11-16 06:26:14","Sparty McFIy",cf61e03d-31fa-473b-bc1e-0e51d880f7d0,Bazaar,CTF,"Ranked Arena",CrossPlay,Open,1332,,Loss,60.98,4956,6161,533,325,208,0.71,-3.66,15,21,7,0,0,,,2010,0,3,788
"2021-11-16 06:50:23","Sparty McFIy",1bddcc15-97f8-4abd-8b08-b95382cae318,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,0,,Win,72.47,5696,3507,356,258,98,2.00,12.33,22,11,4,0,0,,,2700,1,12,510
"2021-11-16 07:00:38","Sparty McFIy",4f38ad39-4ef0-4962-a55b-f23df65dfe63,Recharge,Strongholds,"Ranked Arena",Controller,Solo/Duo,0,,Loss,59.35,8622,5987,711,422,289,2.27,20.66,34,15,5,0,0,,,4150,1,21,669
"2021-11-16 07:15:45","Sparty McFIy",72c3e96f-e84a-4895-867e-f00660d59586,Recharge,Slayer,"Ranked Arena",Controller,Solo/Duo,0,,Win,56.75,5434,4200,541,307,234,1.36,6.00,19,14,3,0,0,,,2050,1,7,511
"2021-11-16 07:25:34","Sparty McFIy",7b5c5b76-9e2e-473c-b8d6-aee77f8f540a,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,1332,,Loss,63.55,6818,6910,620,394,226,0.86,0.66,19,22,11,0,0,,,2460,2,11,757
"2021-11-16 07:47:32","Sparty McFIy",676c68e4-7001-4850-a9bc-96a0c8eb71df,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1332,,Win,44.57,2031,1568,267,119,148,1.25,2.33,5,4,4,0,0,,,700,0,1,393
"2021-11-16 08:06:14","Sparty McFIy",0555bbf4-5afc-4643-8182-0ef72f1c9c10,Bazaar,CTF,"Ranked Arena",Controller,Solo/Duo,0,,Win,61.96,1085,958,92,57,35,1.67,2.00,5,3,0,0,0,,,1160,0,1,242
"2021-11-16 08:11:21","Sparty McFIy",3b6b1754-b955-4201-aa01-37c641962b1c,Recharge,Slayer,"Ranked Arena",Controller,Solo/Duo,0,,Loss,59.81,4473,4233,423,253,170,1.31,5.33,17,13,4,0,0,,,1900,1,6,539
"2021-11-16 08:21:42","Sparty McFIy",2ea9f460-0ca3-4c09-9a16-6796a6d6474e,Recharge,Oddball,"Ranked Arena",Controller,Solo/Duo,0,,Win,60,5612,2698,445,267,178,3.25,18.33,26,8,1,0,0,,,2735,0,10,483
"2021-11-16 08:30:53","Sparty McFIy",95e953b1-cf0e-4919-8fb3-7f52df90ef0d,Streets,Slayer,"Ranked Arena",Controller,Solo/Duo,1200,,Loss,68.8,6049,4340,468,322,146,1.67,10.00,20,12,6,0,0,,,2300,3,7,581
"2021-11-16 08:42:00","Sparty McFIy",c275cf68-dae1-431c-baa2-5489116c21e9,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,1200,,Win,65.02,10213,6338,626,407,219,2.60,27.66,39,15,11,0,0,,,4605,3,18,800
"2021-11-16 08:59:13","Sparty McFIy",a2b1e5ea-41ce-4993-b40c-2ed89ca57a1d,Recharge,Strongholds,"Ranked Arena",Controller,Solo/Duo,1215,,Win,59.04,7285,4250,691,408,283,2.33,18.00,28,12,6,0,0,,,3650,1,12,622
"2021-11-16 09:10:57","Sparty McFIy",64c62fe4-2c23-48bb-a3d5-ad6ef53b9dc5,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,1230,,Win,59.52,7811,4728,625,372,253,1.87,14.66,28,15,5,0,0,,,3475,2,12,732
"2021-11-16 09:24:22","Sparty McFIy",261203ce-92fd-40ab-bccb-d7897b1f06c7,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,1245,,Win,61.17,9819,5020,685,419,266,3.62,37.66,47,13,11,0,0,,,5405,2,23,846
"2021-11-16 09:42:58","Sparty McFIy",6ee9587b-6c38-4994-8ae1-fc68ade62c87,Aquarius,CTF,"Ranked Arena",Controller,Solo/Duo,1260,,Win,65.01,7915,5721,603,392,211,1.71,14.33,29,17,7,0,0,,,3585,2,14,751
"2021-11-16 10:07:48","Sparty McFIy",e443dc8a-0b7a-4649-9ed1-cafe67af6362,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,1275,,Win,69.47,6113,4002,357,248,109,1.73,11.33,19,11,10,0,0,,,2535,1,8,573
"2021-11-16 10:18:28","Sparty McFIy",2ac39303-d9a0-4fcf-b11d-987816eddc27,"Live Fire",Slayer,"Ranked Arena",Controller,Solo/Duo,1278,,Loss,50.95,3189,3631,369,188,181,0.69,-1.66,9,13,7,0,0,,,1250,2,5,403
"2021-11-16 10:27:36","Sparty McFIy",635acbcb-086d-4229-a4c7-fcff31b0bb8d,Behemoth,CTF,"Ranked Arena",Controller,Solo/Duo,1278,,Win,57.05,7702,6545,731,417,314,1.14,6.66,24,21,11,0,0,,,3460,2,7,826
"2021-11-16 10:56:43","Sparty McFIy",024b1a04-7402-45e0-a3d7-47f7ca375e99,Streets,Slayer,"Ranked Arena",CrossPlay,Open,1335,,Loss,58.49,5100,4028,424,248,176,1.58,7.66,19,12,2,0,0,,,2000,2,5,569
"2021-11-16 11:07:44","Sparty McFIy",422ff47e-c7d7-45f8-b950-b5d28ecf1696,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1335,,Loss,73.73,4361,4194,354,261,93,0.71,-4.00,12,17,3,0,0,,,1850,1,6,573
"2021-11-16 11:20:03","Sparty McFIy",8f6d0990-ff47-404d-9421-e706dee570b8,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,1335,,Loss,57.11,4609,3841,422,241,181,1.07,2.33,15,14,4,0,0,,,1700,1,5,464
